customerId,recommendedProducts
12347,22730|84952A|21846|84997A|20655|21672|85068|47563A|21895|21370
12386,22515|21534|22551|84658|84247E|84534B|22553|20910|20616|15044C
12395,84991|22951|85170D|22134|22949|22695|21213|22932|21126|21209
12427,21327|22831|22703|22026|21650|21209|20839|20771|16169K|16010
12431,22728|22729|22725|22730|20655|15056N|47563A|21895|21370|22819
12433,72132|37327|22831|21090|20839|16169K|22026|21209|22903|21785
12441,22582|22865|16258A|21098|21329|21827|22952|22144|22083|20878
12471,22449|22536|22535|20894|84944|21912|84952C|84952B|22187|20975
12472,90162D|90162B|85071C|85071A|84849A|35967|22339|22246|21648|21785
12474,21993|22973|22635|22976|72598|22079|20979|22619|22902|21981
12481,22337|20957|22892|22548|22079|22554|21993|21981|22631|84613C
12494,21217|22666|21531|22963|22962|82600|22665|20750|71495B|22513
12557,22382|20726|22662|22327|22674|85018D|22562|21650|21413|21167
12567,72132|37327|22831|22026|21413|21090|20839|16169K|22703|21650
12583,22729|22730|22725|22902|22337|20957|84826|21060|22079|22831
12586,22494|22492|22375|22212|22195|21731|21171|21064|20782|20780
12600,21931|22386|85099F|22892|21930|22326|20713|20677|85099C|22244
12621,22726|22728|22729|22925|22892|22337|20957|22629|22554|21060
12647,84952A|21846|22547|22849|84559A|84997C|85068|21201|21984|22706
12662,22337|20957|22892|21931|21576|22245|22976|21711|21708|21448
12681,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
12682,21054|84963A|84279P|21774|21195|22894|21555|21439|22390|22337
12683,84952C|84952B|22453|22452|85178|21479|22111|22479|22478|22256
12686,21873|22543|22540|22615|22614|20980|20839|20771|16169K|16010
12708,21245|35965|20684|22332|21989|21988|21987|21207|21066|20674
12709,22626|22624|22892|22337|20957|22117|22341|85049G|22636|21787
12712,21785|21650|21413|21167|21090|20980|20839|20771|16169K|16010
12720,20763|22553|35965|20684|20766|21983|22332|21989|21988|21987
12721,22451|22449|22635|22974|22629|22899|21479|21054|84926A|22233
12725,72798C|21221|85036A|72122|21618|21089|40001|84795B|72131|85170D
12738,22951|84992|21976|22417|22960|22244|22094|22932|22315|22337
12747,90180A|16012|90167|22403|22654|22986|21851|90175C|84581|21716
12748,21202|84051|72051S|47579|22412|21205|20618|20659|21375|21613
12755,22326|22977|21948|85185D|22988|21242|22327|22898|22629|22976
12763,85068|37482P|22274|22149|22606|21034|37509|21078|84674|21518
12766,85170D|22134|22939|22897|21836|21873|20659|21981|21629|21620
12779,22026|21785|21650|21413|21167|21090|20980|20771|16169K|16010
12791,22326|22834|22865|22866|22633|22632|22892|20726|22837|22114
12793,20725|22382|20727|22662|22384|21829|22390|21774|21555|21439
12797,21613|21202|22703|21785|21650|21413|21209|21167|21090|20839
12808,22382|20727|22383|20725|22274|21930|21928|22662|85099C|85099B
12838,22866|85018D|22737|22903|22703|21785|21650|21209|22831|21413
12839,15039|22703|22026|21785|21650|21090|20980|20771|16169K|16010
12841,85071C|85071A|84849A|35967|22339|22246|21648|22903|22831|22703
12855,22961|82600|22202|22200|22960|84531B|84531A|22841|21874|22665
12868,22941|22147|22940|21479|47348A|22167|84029E|22110|79190D|21910
12870,72798C|21221|85035C|35271S|40001|20755|21709|72803A|21703|21705
12913,22952|22572|22423|21212|22865|22866|22083|22748|22746|22738
12915,22905|22956|22904|84685|22673|20910|20616|15044C|84596E|82616B
12921,22332|21989|21988|21987|21207|35965|20684|22390|21774|21195
12942,21244|21238|21242|22691|22685|22683|21973|35965|20684|21689
12947,22529|22774|21673|22772|22775|22341|22545|17038|21507|21671
12963,22568|22147|22142|22327|21889|22548|21785|21650|21413|21209
12967,21080|84030E|84910A|84828|84613C|84029E|21167|21090|20980|20839
12971,22571|22593|22809|22154|22603|22155|21807|22602|22600|22581
13011,22853|17109D|82482|21850|21112|21192|20773|85014B|20978|22118
13013,21537|84509A|37327|22831|16169K|35968|21785|22739|22703|21209
13030,21650|21413|20839|16010|20980|72709|22831|21785|37340|35968
13034,22260|22136|21686|21643|21629|21620|21424|20768|20735|20659
13047,22746|22747|20998|21993|85135B|22702|84925D|22770|22550|22941
13050,82616C|84685|22673|20910|20616|15044C|20750|84519B|10124G|84881
13065,85071C|85071A|84849A|35967|22339|22246|21648|22946|22470|47021G
13069,22337|20957|22574|21817|22571|22576|21807|22573|22733|21650
13077,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
13078,22570|22110|22142|22900|22866|21485|22112|21479|85018D|21481
13081,22831|22703|21785|21650|21413|21167|21090|20980|16169K|16010
13089,22632|22866|84029G|22086|22111|22667|22900|22113|21484|82600
13090,85130D|84921|35653|85130A|21157|15039|72351A|84569D|21257|85185B
13093,22203|84559A|22199|22848|22849|22706|90167|22403|22666|48188
13094,21392|21268|21032|21031|21030|22792|20719|35653|84912B|21012
13108,21785|21650|21413|21209|21167|20980|20839|20771|16169K|16010
13113,85130A|15039|21157|22195|85130D|84921|35653|22059|21161|22470
13115,85071C|85071A|84849A|35967|22339|22246|21648|84559A|22944|C2
13117,35968|22903|22831|22703|22026|21650|21209|20839|20771|16169K
13126,22057|22063|22067|22646|85020|22064|21700|84596B|85123A|72807A
13138,85185B|20972|22570|84569A|20775|22565|22566|22587|85185D|22586
13140,46115B|21336|21390|21864|22757|84819|84925F|20819|21689|21785
13145,22494|22492|22375|22212|22195|21731|21171|21064|20782|20780
13155,84952C|84952B|22545|17038|20759|20839|16010|22274|20970|20760
13173,22963|21650|21413|21209|21167|21090|20980|20839|16169K|16010
13174,16010|84707B|37340|37327|22831|22703|16169K|21785|35968|79191B
13199,20820|22117|84709B|84744|22100|84509A|17091A|22068|20992|21743
13255,22766|21914|22170|21889|79191C|84881|79190D|21910|21613|21202
13267,84674|21518|21070|22730|22800|21069|22834|22729|21068|22727
13269,22086|22909|22834|22940|22951|21179|22738|22731|21479|21787
13270,21785|21650|21413|21209|21167|21090|20980|20771|16169K|16010
13295,15039|85208|72130|85167B|21733|20771|20765|20764|16169K|16010
13305,22116|85129C|85130A|21333|21179|21640|22252|22251|22456|82551
13319,22383|22932|22935|84029E|22384|22632|22936|20728|22865|22662
13329,21212|22086|22909|21984|21677|84991|22557|21581|22738|10124G
13369,21232|22304|22305|46000P|21638|21845|84509B|22649|20655|22246
13370,85144|21714|21426|21399|21392|21268|21032|21031|21030|85071C
13402,21061|22977|84992|47021G|21201|22029|22023|22964|22337|20957
13408,22867|21931|22086|84029E|22114|22834|21479|84029G|22112|85018D
13418,22728|22729|21650|21413|21167|21090|20980|20771|16169K|16010
13448,22867|22633|84029E|21485|84029G|21481|22086|22834|22110|21931
13455,21907|21054|20665|85129D|79190A|47593B|35924|20671|84963A|84279P
13468,84507C|72132|37340|37327|22903|22831|22703|21785|21167|16169K
13481,22961|22913|22963|22962|22920|22918|22916|84497|20762|22969
13488,85170C|22523|22521|22516|20777|22147|21424|20768|20659|22139
13491,85130A|21157|21843|85129D|79190A|47593B|35924|20671|21531|84509G
13495,84881|79190D|21910|21613|21202|84978|21556|22770|22470|84531A
13497,22603|85071C|85071A|84849A|35967|22339|22246|21648|22641|22496
13506,20969|10133|84827|22610|21827|20971|84898F|22142|21891|22337
13520,22892|21243|22345|22352|21981|84279P|21774|21555|21439|21195
13523,21527|84963A|84279P|22390|21774|21555|21439|21195|21158|22483
13531,85099F|20713|21931|20712|21930|21928|21155|21531|21929|20659
13564,22632|22633|84029G|21485|22111|21175|85068|84952A|21846|22834
13569,22606|35965|20684|37482P|84029E|21720|22543|72802B|22949|62018
13576,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
13579,22086|22111|21479|22632|84029E|22867|22142|84029G|22113|85227
13599,21025|22976|21714|21426|21399|21392|21268|21032|21031|21030
13649,22327|15039|22666|22699|22910|20725|21427|21723|20980|20839
13652,22632|22865|21479|84029E|22111|22834|21485|84029G|85208|20685
13694,37447|85020|22770|22833|22157|84963A|84279P|22390|21774|21555
13705,10133|22142|85169A|17091A|22703|21785|21650|21413|21209|21167
13715,22939|22897|21836|22123|22751|20961|21468|21367|21034|47021G
13747,22049|22276|21539|47021G|84963A|84279P|22390|21774|21555|21439
13748,22910|22083|22952|22865|22141|22867|22866|22748|22745|20975
13756,22865|22837|22866|22632|22633|22086|22114|22563|21479|22726
13758,21202|84881|79190D|21910|21613|84531A|84531B|21787|22450|21973
13767,22728|22632|84029E|21485|21479|22865|22725|22112|22633|22086
13769,22114|22694|21181|22633|22835|22147|15039|21165|22804|22666
13777,22382|15039|22383|22384|21985|85187|22860|22859|22808|22129
13786,84978|22610|20668|84531B|84531A|15039|84881|79190D|21910|21613
13798,21733|22804|82482|22470|21730|82483|21136|82494L|22469|21754
13807,85071C|85071A|84849A|35967|22339|22246|21648|79302M|46000P|21638
13831,22804|22470|22795|71477|22114|84029G|22569|22158|22645|22095
13838,22905|71406C|22096|22703|21650|21413|21209|21167|21090|20980
13842,15039|16161M|85232B|22694|22316|21486|22141|22667|85127|85123A
13848,85170C|22523|22521|22516|20777|47369B|47367B|47343A|21038|21651
13854,20750|22470|22968|22697|21056|22086|22666|22665|22699|21054
13880,85130D|84921|35653|84832|85130A|22151|21720|21157|21421|15039
13941,21609|46000P|21638|35965|20684|22686|22678|21361|21357|22786
13958,62018|72799F|71215|20892|20886|20695|72800E|10133|22211|21827
13963,22646|22147|22150|21576|22141|22940|20969|20967|22751|22142
13983,84881|79190D|21910|21613|21202|21873|84029E|22867|22690|22835
13984,84558A|90195B|22396|22545|17038|22425|85178|20982|84991|90175D
14001,22627|85099C|21931|21930|20712|21928|22386|22341|84819|20763
14030,22771|22772|22760|22643|22642|22241|21794|20707|21479|85232D
14031,21785|21650|21413|21167|21090|20980|20839|20771|16169K|16010
14032,85144|21714|21426|21399|21392|21268|21032|21031|21030|21993
14045,47504H|22474|22480|22896|47599A|47591B|21112|22481|22073|22354
14047,22396|84247E|22337|20957|21846|22977|21625|21822|85169A|21689
14051,22866|22865|22632|84029E|21721|21485|22629|22900|22633|21638
14060,21802|84531B|84531A|21807|22817|84881|79190D|21910|21613|21202
14078,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
14081,22867|37327|35968|22903|22831|21785|21413|21209|20839|16169K
14083,21785|21413|21209|21167|21090|20980|20839|20771|16169K|16010
14085,22274|22142|22141|22147|22273|20972|20969|22272|22586|20971
14092,47504H|22474|22480|22896|47599A|47591B|21112|22481|22073|22354
14135,37327|22903|22831|22026|21413|21209|21090|20839|20771|16169K
14142,37340|37327|22703|21785|21650|16169K|16010|22903|21413|21167
14156,72133|15039|72130|21413|21209|21167|21090|20980|20839|20771
14161,22746|22810|22632|22747|22867|20975|22910|22581|22500|21181
14176,84709B|22068|78124|71496A|71495B|22513|21201|84509A|21205|20618
14180,84559A|84510A|85071C|85071A|84849A|35967|22339|22246|21648|82616C
14189,21876|85152|21873|21872|82600|21175|82599|84952A|21846|22693
14210,22878|22877|22869|22060|16161P|84963A|84279P|22390|21774|21555
14213,35591T|21281|35471D|22695|21976|22593|22110|85049H|22472|22613
14215,22594|22593|22601|22579|22079|90162D|90162B|22337|20957|22574
14217,21066|22470|71279|20996|22853|17109D|22625|20897|22547|21424
14236,85068|85216|22285|22284|22209|21538|21159|21429|84509A|21428
14237,22493|85071C|85071A|84849A|35967|22339|22246|21648|22948|21397
14243,22112|82482|21479|22470|22633|82483|22086|84029E|84029G|21181
14264,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
14282,47504K|20716|20711|21931|84562A|22701|22361|21040|22382|20713
14293,22865|21479|22633|84029E|22114|22112|21481|22728|22086|21931
14299,85049A|21908|21175|82582|85152|21174|21217|85049G|21722|21165
14307,72132|37340|37327|22831|22703|21785|21167|21090|20980|16010
14344,22470|15039|22426|85130A|85130D|84921|35653|21650|21413|21209
14388,84029E|22867|22632|21481|22866|20713|21446|22113|85170D|22134
14390,21640|22632|84963A|84279P|22390|21774|21555|21439|21195|16168M
14395,22866|22834|21479|22867|84029G|84029E|22835|21827|85068|22531
14396,85018D|22633|22632|21375|21205|20618|20718|22834|22086|21376
14404,85170A|85059|84596J|47563A|21895|21370|20725|21367|84497|22383
14409,22867|22837|22865|22632|22866|22940|22563|22633|21930|22418
14437,22960|22244|22094|22842|82600|22654|21984|22202|22200|20685
14443,21932|21936|22141|22666|21937|21822|22086|47504K|21485|22112
14449,79149B|78034B|72709|37327|22831|21413|21209|20980|20839|16169K
14466,22939|22897|21836|22598|84032B|22123|22853|17109D|84032A|22665
14487,22865|22632|84029E|22114|22952|22086|21479|22112|22834|22910
14491,22726|22728|22535|21054|22813|84963A|84279P|22390|21774|21555
14496,22114|22112|21485|21479|22469|84683|79163|22111|84029E|22493
14506,22940|22568|79149B|72132|37327|22903|22831|22703|20839|16169K
14527,22867|21485|84029E|84029G|22633|22110|21931|84997C|22086|22837
14573,21413|20839|16010|21650|72132|35968|22831|21167|21090|20771
14576,71215|20892|20886|20695|22760|22643|22642|22241|21794|20707
14589,48111|20685|22414|37482P|22691|22685|22683|21973|82486|21524
14594,22576|22582|22602|22594|22577|22579|22571|22595|22572|21817
14606,72709|72132|37327|22831|22703|21650|21413|21167|20980|16010
14618,22494|22492|22375|22212|22195|21731|21171|21064|20782|20780
14625,22849|84559A|22846|21428|22203|21648|85136C|22402|22400|22199
14667,22866|21479|22581|22114|21802|84029G|21481|22810|22598|22817
14673,22866|22112|21479|85123A|22114|22086|35971|22867|21910|21613
14679,84963A|84279P|22390|21774|21555|21439|21195|84870B|22483|21829
14680,85099B|20711|21930|84997C|21928|22632|85099F|22355|22684|21973
14688,20712|20713|22417|84992|21976|85099B|84997A|84997D|84963A|84279P
14696,84925F|20819|85018D|22043|84508C|22733|22737|46000S|22673|20910
14708,22535|22026|21785|21209|21167|21090|20980|20839|20771|16010
14723,37340|37327|22831|22703|16169K|16010|21209|21090|20839|20771
14729,35965|20684|37327|22831|22703|21413|21167|21090|20980|20839
14733,15039|21413|21209|21167|21090|20980|20839|20771|16169K|16010
14739,85049E|85049F|22078|21167|21090|20980|20839|20771|16169K|16010
14741,85130D|84921|35653|15039|84531B|84531A|84881|79190D|21910|21613
14744,20727|22382|20726|84709B|22383|22662|22327|22068|20820|22537
14748,21650|21413|21209|21167|21090|20980|20839|20771|16169K|16010
14766,22910|22961|22867|21479|22654|22632|84029E|22837|22866|21446
14775,22690|22703|22026|21413|21209|21090|20980|20839|16169K|16010
14796,22951|22935|22936|21174|90175A|84247L|21169|22903|21785|21209
14800,35968|22831|21785|21650|37327|21167|20771|16169K|16010|37340
14810,22977|85144|21714|21426|21399|21392|21268|21032|21031|21030
14813,21479|84029E|46115B|21336|22086|84029G|21098|21930|22114|22531
14821,22633|22834|22865|22866|22112|22086|22130|22632|22837|22114
14825,84378|22508|22079|22114|22867|22042|22582|22965|22241|21794
14829,84674|21518|21070|21520|22728|22815|22729|22433|22432|22431
14849,21822|21212|84991|22543|22598|84881|21910|21613|21202|22211
14850,22594|22685|22683|21973|22689|22828|35591T|22337|22321|20957
14865,72799F|21827|71215|20892|20886|20695|21689|79051A|20861|21226
14866,21791|21889|22674|22548|21272|84827|84531B|84531A|22949|21827
14867,22494|22492|22375|22212|22195|21731|21171|21064|20782|20780
14898,84683|79163|22515|21534|21527|22928|82011B|21630|22519|22518
14901,22932|22760|22643|22642|22241|21794|20707|22501|35965|20684
14907,22569|21479|22750|22632|84029E|22142|22272|21485|20972|21034
14911,35968|22903|21785|16010|78034B|72132|21413|21167|20839|22703
14952,21915|90180A|16012|22610|22714|22654|85067|22986|21851|90175C
15002,21351|22866|85018D|21556|22155|78124|71496A|71495B|22513|22496
15005,22878|22877|22869|22060|16161P|21157|84854|84563B|84415B|82613B
15012,21424|20768|20735|20659|21934|22136|21686|21643|21629|21620
15018,22697|22747|22748|22746|22941|85036A|72122|21618|21089|22968
15021,84531A|21650|21413|21209|21167|21090|20980|20839|20771|16169K
15023,84881|79190D|21910|21613|21202|21813|22603|22833|84531B|22600
15024,79149B|78034B|72132|22903|22831|21785|21167|20980|20839|16010
15028,21147|21865|85187|22860|22859|22808|22129|22099|22659|22639
15032,21930|20728|37327|35968|22831|21650|21413|21167|20771|16169K
15038,84051|72051S|47579|22412|21903|21908|82600|85020|82599|82551
15039,21479|22865|20713|21928|22703|21785|21167|21090|20839|16169K
15048,22732|22739|85135B|22738|22865|84559B|22733|22845|21579|22910
15061,79151B|72132|37340|22831|16010|72709|22026|21413|37327|22703
15070,22910|22083|22952|22865|22141|22867|22866|22748|22745|20975
15078,85099C|22598|21903|22411|21165|21174|21169|22385|22382|21908
15079,22835|21485|21479|84029E|21481|22866|22632|22867|22110|22113
15081,85231G|20894|22190|84978|84970S|21822|84531B|84531A|79190D|21910
15093,84674|21518|21070|22037|22545|17038|22433|22432|22431|21520
15100,21672|21259|22947|22795|21630|22164|21673|84569A|20775|21784
15107,21827|22424|22427|22635|79051A|20861|22350|22210|21682|22192
15111,22633|22114|21479|84029E|22834|22414|21485|22086|22111|22910
15165,22865|84029E|22866|21643|21629|21620|21424|20768|20735|20659
15180,21485|21479|22111|84029E|22867|22110|84029G|22632|21721|20659
15194,22632|22633|22834|22112|22086|84029E|21820|21479|21822|21613
15221,21397|82482|72819|72800D|47574A|35646|22136|21686|21643|21629
15235,22111|84029E|22835|21479|22866|84029G|22867|22110|22633|21481
15240,85071C|85071A|84849A|35967|22339|22246|21648|21164|84849B|85227
15260,22600|22593|22573|22571|21817|22578|22577|22572|22337|20957
15291,22835|85123A|22112|84029G|22804|22867|21558|21955|21181|21481
15298,84992|21039|22315|21977|21245|21239|22543|20674|22208|22650
15299,84881|79190D|21910|21613|21202|22833|22461|22157|21822|21695
15301,22598|22581|21807|22603|84531B|84531A|37340|37327|22831|22703
15304,20750|22941|22968|21217|22909|21579|21689|22622|21174|22853
15311,37340|37327|35968|22703|21785|21650|16010|22903|21413|21167
15332,22749|22570|22274|22181|22894|21721|22272|20969|21415|18097A
15347,21210|22452|20655|22123|22454|84510A|78124|71496A|71495B|22513
15350,22632|22633|22114|21479|22837|84029E|22086|22111|21485|21930
15351,35968|22831|21785|21413|21167|21090|20771|16010|22703|21650
15353,22867|22865|22866|84881|79190D|21910|21613|21202|22294|21351
15356,35968|21785|20839|16010|84029E|72709|72132|37340|22831|21413
15358,22446|22086|22733|22735|22745|22941|22922|84991|22731|22909
15363,22703|22026|21785|21650|21413|21167|20839|20771|16169K|16010
15373,21689|22112|84029E|21485|21426|21399|21392|21268|21032|21031
15384,22198|20752|22977|21243|21239|22453|84952C|84952B|21039|72818
15426,84881|79190D|21910|21613|21202|82551|21175|21174|22461|22496
15465,22910|22699|22697|22571|82482|22853|17109D|22119|21557|22834
15485,22728|22729|22725|84558A|22853|17109D|15056P|22339|22246|21648
15498,22940|22141|22142|22866|22865|22200|22147|22094|51008|22421
15502,46000M|21789|21158|85170A|85059|84596J|47563A|21895|21370|84559A
15513,22726|22728|22866|22867|22729|22725|22141|22685|22683|21973
15525,84952C|84952B|21714|21426|21399|21392|21268|21032|21031|21030
15529,22659|79051A|20861|22867|22112|84952C|84952B|84029E|21026|21479
15544,35965|20684|22543|21240|21242|84596G|84536B|20676|21243|22208
15545,37340|37327|35968|22903|22831|22703|21650|21209|20839|16169K
15555,22581|22579|84881|79190D|21910|21613|21202|21351|21813|22496
15570,84029E|22729|22633|22112|84029G|22837|22834|22114|22732|22110
15574,21650|16010|37340|22831|22703|21209|20839|35968|37327|16169K
15581,47594A|21162|22260|22136|21686|21643|21629|21620|21424|20768
15601,22341|21668|84247G|85068|22773|22031|21507|22814|22805|21508
15602,21129|22127|21187|22469|21733|22802|21812|21445|22804|85116
15605,22706|22589|22853|17109D|22573|22610|22316|22069|21056|22946
15628,84569A|20775|21785|21650|21413|21209|21167|20980|20839|20771
15640,22632|22867|22633|22910|84029E|22834|21479|21980|22095|85018D
15646,22572|35598D|85045|84760S|84360|35954|22945|22739|22952|20618
15649,22786|22355|79302M|21609|21556|85047|22461|84531B|84531A|21934
15658,22853|17109D|22909|21745|85071C|85071A|84849A|22339|22246|21648
15660,22570|22569|22704|84497|79051A|20861|21056|22963|22962|85024C
15680,22570|22147|85170C|22523|22521|22516|20777|22121|22640|22566
15694,85071C|85071A|84849A|35967|22339|22246|21648|22728|22730|22729
15708,22728|21413|21209|21167|21090|20980|20839|20771|16169K|16010
15713,22928|21745|21733|47594A|21162|22304|22697|22163|84683|79163
15716,22573|22641|22496|22603|22571|85018D|21820|21351|22703|21209
15732,21931|22074|20711|20973|21390|20713|20974|21499|22385|22211
15738,47590A|21390|22090|22208|21742|22210|22285|22284|22209|21538
15750,21846|84952A|84795B|72131|22703|21650|21413|21209|21167|21090
15752,22867|85018D|21827|21479|22114|22834|22112|84029E|21791|21930
15769,84032A|21625|22285|22284|22209|21538|21159|21626|35591T|22534
15808,22632|22390|21774|21195|84963A|84279P|21555|21439|21485|22730
15823,22494|22492|22375|22212|22195|21731|21171|21064|20782|20780
15827,85170D|22134|22960|82600|22667|22923|22842|22337|20957|22169
15834,22777|22760|22643|22642|22241|21794|20707|47021G|21486|10135
15838,20711|85130D|84921|35653|22386|85099F|21931|22839|22380|21129
15858,22813|22737|85071C|85071A|84849A|22339|22246|21648|85018D|84559B
15860,46115B|21336|22469|22912|84520B|79067|84925D|22089|22086|84975
15862,37327|35968|22831|21090|20771|16169K|72132|20839|22703|37340
15867,22111|21485|22866|22114|84029G|21827|22867|10133|22633|20839
15880,79151B|78034B|72709|72132|37340|21650|21413|20839|16010|22703
15882,22532|22867|22529|22834|22536|22537|21873|22535|22581|22951
15889,37340|37327|22831|22703|21785|21650|16169K|16010|21413|21209
15894,37327|35968|22831|21209|21090|20839|16169K|37340|22703|16010
15898,72709|22903|22831|21413|21209|20980|20771|35968|21167|20839
15899,46000M|22907|21622|47594A|21162|84968D|22613|22166|21488|84968A
15916,21485|22632|21481|22114|84925D|22112|22866|22633|22110|84030E
15919,72819|72800D|47574A|35646|21397|84509A|84819|20820|84658|85034B
15922,84952A|21846|21822|21745|85129B|35971|22789|21851|21011|22074
15923,22700|21789|21383|21467|22898|22285|22284|22209|21538|21159
15953,22026|21650|21413|21209|21167|21090|20980|20839|20771|16169K
15955,21876|21874|21166|21165|22867|21175|82599|22297|22835|22111
15965,22867|84029E|21931|22733|22086|22866|21785|21650|21723|21677
15973,51008|84952A|21846|22419|21650|21413|21209|21167|21090|20980
15983,22703|21785|21650|21413|21209|21167|21090|20771|16169K|16010
15984,22866|22834|21479|84029E|22910|22114|22837|21930|22112|85018D
15987,84558A|84559A|84952A|21846|22163|22166|35833P|85169A|22493|22925
15996,37327|22903|22831|22703|21785|21167|21090|20839|16169K|16010
16011,21479|84881|21613|21202|22903|22703|21785|21650|21209|20839
16013,22903|22831|22703|21785|21650|21413|21167|20771|16169K|16010
